Tallformatet viser til kolonnenummer:
0=Ts, 1=Flow, 2=Volum
0,9.786393880844109,0.06556200981140137
-1,9.719739675521843,0.06665420532226562
-2,9.593506097793572,0.06311678886413574
-2,9.472090005874627,0.060708045959472656
-3,9.276667118072503,0.06514096260070801
-3,9.093501567840569,0.06105518341064453
-4,8.863673686981194,0.05745697021484375
-5,8.530004501342766,0.06673383712768555
-5,8.19860386848449,0.06628012657165527
-5,7.90691423416137,0.05833792686462402
-5,7.583754539489739,0.06463193893432617
-5,7.2846786975860525,0.059815168380737305
-5,6.956323862075799,0.06567096710205078
-5,6.554449081420891,0.08037495613098145
-5,6.266528844833367,0.05758404731750488
-5,5.946814298629754,0.06394290924072266
-4,5.69631361961364,0.06262516975402832
-3,5.473143815994256,0.07438993453979492
-3,5.260212898254371,0.07097697257996138
-2,5.127980709075912,0.06611609458922985
