Tallformatet viser til kolonnenummer:
0=Ts, 1=Flow, 
2=Volum, 3=, 4= 
0.06665420532226563,-1,9.719739675521851
0.06311678886413574,-2,9.593506097793579
0.06070804595947266,-2,9.472090005874634
0.06514096260070801,-3,9.27666711807251
0.06105518341064453,-3,9.093501567840576
0.05745697021484375,-4,8.863673686981201
0.06673383712768555,-5,8.530004501342773
0.06628012657165527,-5,8.198603868484497
0.05833792686462402,-5,7.906914234161377
0.06463193893432617,-5,7.583754539489746
0.0598151683807373,-5,7.28467869758606
0.06567096710205078,-5,6.956323862075806
0.08037495613098145,-5,6.554449081420898
0.05758404731750488,-5,6.266528844833374
0.06394290924072266,-5,5.946814298629761
0.06262516975402832,-4,5.696313619613647
0.07438993453979492,-3,5.473143815994263
0.07097697257995605,-3,5.260212898254395
0.0661160945892334,-2,5.127980709075928
0.06422781944274902,-1,5.063752889633179
